"NO","名称","名称_カナ","住所","方書","lat","lon","標高","電話番号","内線番号","市区町村コード","都道府県名","市区町村名","災害種別_洪水","災害種別_崖崩れ、土石流及び地滑り","災害種別_高潮","災害種別_地震","災害種別_津波","災害種別_大規模な火事","災害種別_内水氾濫","災害種別_火山現象","指定避難所との重複","想定収容人数","対象となる町会・自治会","URL","備考"
"0000000101","大宜味村役場","オオギミソンヤクバ","大宜味村字大兼久157番地","","26.701610","128.120542","","(0980)44-3001","","473022","沖縄県","大宜味村","1","1","1","1","1","","","","1","138","大宜味村全域","",""
"0000000102","田嘉里公民館","タカザトコウミンカン","大宜味村字田嘉里472番地","","26.711593","128.163092","","(0980)44-3026","","473022","沖縄県","大宜味村","","1","1","","","","","","","75","田嘉里区","",""
"0000000103","謝名城公民館","ジャナグスクコウミンカン","大宜味村字謝名城36番地","","26.710213","128.155957","","(0980)44-3030","","473022","沖縄県","大宜味村","","","1","","1","","","","","32","謝名城区区","",""
"0000000104","喜如嘉公民館","キジョカコウミンカン","大宜味村字喜如嘉777番地1","","26.706331","128.144681","","(0980)44-3809","","473022","沖縄県","大宜味村","","1","1","","","","","","","100","喜如嘉区","",""
"0000000105","大宜味村農村環境改善センター","オオギミソンノウソンカンキョウカイゼンセンター","大宜味村字喜如嘉320番地","","26.707827","128.143673","","(0980)44-3672","","473022","沖縄県","大宜味村","","1","1","","","","","","","142","喜如嘉住区または、喜如嘉住区","",""
"0000000106","饒波公民館","ヌウハコウミンカン","大宜味村字饒波22番地","","26.697302","128.131152","","(0980)44-3001","","473022","沖縄県","大宜味村","","","1","","","","","","","15","饒波区","",""
"0000000107","大兼久公民館","オオガネクコウミンカン","大宜味村字大兼久30番地","","26.701974","128.121872","","(0980)44-3001","","473022","沖縄県","大宜味村","","","1","","","","","","","21","大兼久区","",""
"0000000108","大宜味公民館","オオギミコウミンカン","大宜味村字大宜味189番地","","26.701635","128.117173","","(0980)44-3001","","473022","沖縄県","大宜味村","","1","1","","","","","","","34","大宜味区","",""
"0000000109","根路銘公民館","ネロメコウミンカン","大宜味村字根路銘61番地","","26.695201","128.113697","","(0980)44-3001","","473022","沖縄県","大宜味村","","","1","","","","","","","29","根路銘区","",""
"0000000110","上原公民館","ウエバルコウミンカン","大宜味村字上原193番地","","26.687000","128.113396","","(0980)44-3001","","473022","沖縄県","大宜味村","","1","1","","1","","","","","26","上原区または、近隣行政区","",""
"0000000111","塩屋公民館","シオヤコウミンカン","大宜味村字塩屋371番地2","","26.672559","128.107560","","(0980)44-2453","","473022","沖縄県","大宜味村","","1","1","","","","","","","43","塩屋区","",""
"0000000112","屋古公民館","ヤココウミンカン","大宜味村字屋古17番地","","26.672867","128.114920","","(0980)44-3001","","473022","沖縄県","大宜味村","","1","1","","","","","","","29","屋古区","",""
"0000000113","田港公民館","タミナトコウミンカン","大宜味村字田港80番地","","26.668352","128.121647","","(0980)44-3001","","473022","沖縄県","大宜味村","","","","","","","","","","13","田港区","",""
"0000000114","押川公民館","オシカワコウミンカン","大宜味村字押川156番地","","26.672743","128.132311","","(0980)44-3001","","473022","沖縄県","大宜味村","","1","1","","1","","","","","19","押川区または、近隣行政区","",""
"0000000115","大保公民館","タイホコウミンカン","大宜味村字大保1番地17","","26.658217","128.125552","","(0980)44-3001","","473022","沖縄県","大宜味村","","1","","","","","","","","30","大保区","",""
"0000000116","白浜公民館","シラハマコウミンカン","大宜味村字白浜146番地","","26.662388","128.108150","","(0980)44-3001","","473022","沖縄県","大宜味村","","1","","","","","","","","16","白浜区","",""
"0000000117","宮城公民館","ミヤギコウミンカン","大宜味村字宮城10番地","","26.665225","128.103429","","(0980)44-3001","","473022","沖縄県","大宜味村","","1","","","","","","","","22","宮城区","",""
"0000000118","江洲公民館","エスコウミンカン","大宜味村字白浜442番地","","26.637284","128.120939","","(0980)44-3001","","473022","沖縄県","大宜味村","","1","1","","1","","","","","43","白浜区","",""
"0000000119","津波公民館","ツハコウミンカン","大宜味村字津波620番地","","26.657815","128.094256","","(0980)44-2518","","473022","沖縄県","大宜味村","","","","","","","","","","33","津波区","",""